Index,Collisions,Hash
1096,19,B196HL
1097,261,B063BW
1098,96,C657TD
1099,166,C054QJ
1100,108,P925MC
1101,40,W142JG
1102,178,D569MD
1103,323,J523OF
1104,80,V557FN
1105,50,I404CW
1106,183,G411CV
1107,120,P028DK
1108,33,M057WH
1109,51,U112MO
1110,235,R928JY
1111,89,B521YG
1112,237,J735WC
1113,33,V008VH
1114,84,H900TM
1115,107,K396AM
1116,147,D262IR
1117,152,W006EL
1118,15,F707TY
1119,38,X654IP
1120,152,W685NB
1121,116,U767LD
1122,142,P469OK
1123,206,L966IR
1124,45,I762SY
1125,32,P047HC
1126,256,O350GB
1127,78,J238KL
1128,199,K599AE
1129,121,G209MD
1130,70,D616ZE
1131,168,S286DC
1132,321,F455OF
1133,64,Z713TC
1134,51,C808LM
1135,177,L680CJ
1136,115,V526AF
1137,24,R156CX
1138,44,G154MX
1139,192,D437EF
1140,83,E116PN
1141,256,W421BY
1142,15,C468NZ
1143,65,R196AP
1144,122,O196GF
1145,144,H007TG
1146,158,P121KP
1147,11,O567SN
1148,26,U335GZ
1149,168,K588NM
1150,100,V038JO
1151,133,P418MT
1152,185,W248GQ
1153,31,W777WB
1154,38,J955BH
1155,312,X262CA
1156,76,R175EK
1157,194,C891CQ
1158,138,J267CH
1159,73,B308WM
1160,182,H083MK
1161,315,Y308DC
1162,36,U235SK
1163,48,C692WB
1164,207,H816CN
1165,123,S410OD
1166,17,N081PS
1167,23,U099IG
1168,188,C192MB
1169,98,C285GS
1170,238,K459LQ
1171,14,M187ZG
1172,54,M509UD
1173,142,G121MU
1174,146,D748IK
1175,173,M049GO
1176,14,E617XX
1177,13,H741AJ
1178,141,A685XP
1179,122,W511RK
1180,185,Q466VH
1181,173,J160ZS
1182,16,O267VR
1183,34,D978BK
1184,315,C214YD
1185,95,D837GS
1186,175,K360PF
1187,120,R260OJ
1188,73,C865SI
1189,195,R263CL
1190,329,J487AM
1191,44,U678HL
1192,44,D926UD
1193,206,M364NA
1194,142,V165BH
1195,34,X441YA
1196,28,I830ZJ
1197,149,D964EC
1198,101,E482MM
1199,271,L232RV
1200,26,S566FU
1201,61,L251TQ
1202,124,I437UB
1203,149,A485SG
1204,175,F692KO
1205,14,T836QN
1206,10,X571EY
1207,107,T074HV
1208,110,E148SW
1209,113,X598II
1210,219,X621PN
1211,11,Q539QT
1212,37,A810YF
1213,329,E471QF
1214,100,L465QE
1215,207,C282MO
1216,136,F018DS
1217,80,S531PG
1218,220,H812GS
1219,382,D686PE
1220,55,I883JY
1221,37,N263PF
1222,180,F303KS
1223,153,V732GD
1224,38,B942XS
1225,36,T623IQ
1226,132,J324FG
1227,101,N981EI
1228,227,W921XA
1229,41,C177LS
1230,56,W754MF
1231,126,G077CD
1232,166,G085UD
1233,184,H990WA
1234,24,V555ZF
1235,19,A222GS
1236,107,L878IR
1237,90,F667YK
1238,131,R029XL
1239,174,Z740QJ
1240,28,Y240UT
1241,35,H555BQ
1242,313,F420GV
1243,83,H008XJ
1244,222,C495RE
1245,173,W034JM
1246,74,J646CW
1247,196,X359AD
1248,382,B817SI
